player.key,player.firstName,player.lastName,player.avatar,player.transferDate,player.transferRating,player.highSchoolRating,player.rating,player.starRating,player.transferRank,player.highSchoolRank,player.rank,player.rankTrend,player.institutionStatus,player.position,player.positionKey,player.eligibility.type,player.eligibility.years,player.stateRank,player.status,player.statusDate,player.transfer.source.institution,player.transfer.source.institutionKey,player.transfer.source.logo,player.transfer.source.defaultAsset,player.transfer.source.alternateAsset,player.transfer.source.lightAsset,player.transfer.source.institutionRootPath,player.transfer.destination,player.positionGroupKey,player.positionGroupName,player.positionRank,player.lastUpdateDate,player.transferCommitDateTime,player.weight,player.height,player.playerProfileUrl,player.startDate,player.endDate,year
46137128,Yaxel,Lendeborg,https://s3media.247sports.com/Uploads/Assets/46/44/12044046.jpeg,2025-03-31T17:46:00Z,0.99,,0.99,5.0,1.0,,1.0,,T,PF,34,Immediate,2.0,1.0,Enrolled,,UAB,24059,,https://s3media.247sports.com/Uploads/Assets/341/544/12544341.png,,https://s3media.247sports.com/Uploads/Assets/341/544/12544341.png,/college/alabama-birmingham,"[{'percentage': None, 'transferred': True, 'institution': 'Michigan', 'institutionKey': 24042, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png', 'institutionRootPath': '/college/michigan'}]",10,Forward,1.0,2025-04-05T19:58:21Z,2025-04-05T13:11:00Z,230,6-9,https://247sports.com/player/yaxel-lendeborg-46137128/college-303531,,,2025
46102421,PJ,Haggerty,https://s3media.247sports.com/Uploads/Assets/985/722/12722985.jpg,2025-04-17T20:05:00Z,0.99,0.9,0.99,5.0,2.0,126.0,2.0,1.0,T,PG,31,Immediate,3.0,1.0,Enrolled,,Memphis,24053,,https://s3media.247sports.com/Uploads/Assets/309/544/12544309.png,,https://s3media.247sports.com/Uploads/Assets/309/544/12544309.png,/college/memphis,"[{'percentage': None, 'transferred': True, 'institution': 'Kansas State', 'institutionKey': 24023, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/9/543/12543009.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/173/617/12617173.png', 'institutionRootPath': '/college/kansas-state'}]",9,Guard,1.0,2025-05-26T20:27:32Z,2025-05-26T19:27:00Z,191,6-3,https://247sports.com/player/pj-haggerty-46102421/college-323421,,,2025
46156598,Bennett,Stirtz,https://s3media.247sports.com/Uploads/Assets/832/950/12950832.jpeg,2025-03-25T16:17:00Z,0.98,,0.98,5.0,3.0,,3.0,,T,PG,31,Immediate,,1.0,Enrolled,,Drake,24218,,https://s3media.247sports.com/Uploads/Assets/286/550/12550286.png,,https://s3media.247sports.com/Uploads/Assets/286/550/12550286.png,/college/drake,"[{'percentage': None, 'transferred': True, 'institution': 'Iowa', 'institutionKey': 24041, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/226/617/12617226.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/77/543/12543077.png', 'institutionRootPath': '/college/iowa'}]",9,Guard,2.0,2025-03-25T16:37:13Z,2025-03-25T16:36:00Z,180,6-4,https://247sports.com/player/bennett-stirtz-46156598/college-331676,,,2025
46117555,Donovan,Dent,https://s3media.247sports.com/Uploads/Assets/442/730/12730442.jpg,2025-03-25T17:21:00Z,0.98,0.9,0.98,5.0,4.0,116.0,4.0,1.0,T,PG,31,Immediate,,1.0,Enrolled,,New Mexico,24081,,https://s3media.247sports.com/Uploads/Assets/903/549/12549903.png,,https://s3media.247sports.com/Uploads/Assets/903/549/12549903.png,/college/new-mexico,"[{'percentage': None, 'transferred': True, 'institution': 'UCLA', 'institutionKey': 24093, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/339/617/12617339.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/339/617/12617339.png', 'institutionRootPath': '/college/ucla'}]",9,Guard,3.0,2025-03-29T01:03:54Z,2025-03-29T01:03:00Z,185,6-2,https://247sports.com/player/donovan-dent-46117555/college-324222,,,2025
46129312,Darrion,Williams,https://s3media.247sports.com/Uploads/Assets/418/33/13033418.jpeg,2025-04-08T21:48:00Z,0.98,0.88,0.98,5.0,5.0,215.0,5.0,2.0,T,PF,34,Immediate,,1.0,Enrolled,,Texas Tech,24030,,https://s3media.247sports.com/Uploads/Assets/33/543/12543033.png,,https://s3media.247sports.com/Uploads/Assets/33/543/12543033.png,/college/texas-tech,"[{'percentage': None, 'transferred': True, 'institution': 'NC State', 'institutionKey': 24015, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/728/975/7975728.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/728/975/7975728.png', 'institutionRootPath': '/college/north-carolina-state'}]",10,Forward,2.0,2025-05-22T21:51:45Z,2025-05-22T21:51:00Z,225,6-6,https://247sports.com/player/darrion-williams-46129312/college-302683,,,2025
46114866,Boogie,Fland,https://s3media.247sports.com/Uploads/Assets/47/716/12716047.jpg,2025-04-22T19:57:00Z,0.98,0.97,0.98,5.0,6.0,22.0,6.0,1.0,T,CG,36,Immediate,,1.0,Enrolled,,Arkansas,24097,,https://s3media.247sports.com/Uploads/Assets/672/698/9698672.png,,https://s3media.247sports.com/Uploads/Assets/185/617/12617185.png,/college/arkansas,"[{'percentage': None, 'transferred': True, 'institution': 'Florida', 'institutionKey': 24099, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png', 'institutionRootPath': '/college/florida'}]",9,Guard,1.0,2025-05-20T15:06:01Z,2025-05-20T15:05:00Z,175,6-2,https://247sports.com/player/boogie-fland-46114866/college-323042,,,2025
46111723,Ian,Jackson,https://s3media.247sports.com/Uploads/Assets/628/644/12644628.png,2025-04-07T19:41:00Z,0.98,0.98,0.98,5.0,7.0,8.0,7.0,,T,SG,32,Immediate,,1.0,Enrolled,,North Carolina,24014,,https://s3media.247sports.com/Uploads/Assets/602/120/8120602.png,,https://s3media.247sports.com/Uploads/Assets/832/616/12616832.png,/college/north-carolina,"[{'percentage': 100, 'transferred': True, 'institution': ""St. John's"", 'institutionKey': 24309, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/877/620/12620877.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/877/620/12620877.png', 'institutionRootPath': '/college/saint-johns'}]",9,Guard,1.0,2025-04-21T16:09:24Z,2025-04-21T16:09:00Z,190,6-4,https://247sports.com/player/ian-jackson-46111723/college-317128,,,2025
46129001,Rob,Wright III,https://s3media.247sports.com/Uploads/Assets/234/720/12720234.jpg,2025-04-07T14:19:00Z,0.98,0.97,0.98,5.0,8.0,23.0,8.0,1.0,T,PG,31,Immediate,,2.0,Enrolled,,Baylor,24019,,https://s3media.247sports.com/Uploads/Assets/935/542/12542935.png,,https://s3media.247sports.com/Uploads/Assets/199/617/12617199.png,/college/baylor,"[{'percentage': 100, 'transferred': True, 'institution': 'BYU', 'institutionKey': 24079, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/804/620/12620804.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/803/620/12620803.png', 'institutionRootPath': '/college/byu'}]",9,Guard,4.0,2025-04-10T20:50:16Z,2025-04-10T20:50:00Z,183,6-1,https://247sports.com/player/rob-wright-iii-46129001/college-315841,,,2025
46142985,Adrian,Wooley,https://s3media.247sports.com/Uploads/Assets/555/11/13011555.jpg,2025-03-26T19:15:00Z,0.98,0.85,0.98,5.0,9.0,339.0,9.0,2.0,T,CG,36,Immediate,,1.0,Enrolled,,Kennesaw State,24363,,https://s3media.247sports.com/Uploads/Assets/949/544/12544949.png,,https://s3media.247sports.com/Uploads/Assets/949/544/12544949.png,/college/kennesaw-state,"[{'percentage': None, 'transferred': True, 'institution': 'Louisville', 'institutionKey': 24033, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/863/542/12542863.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/863/542/12542863.png', 'institutionRootPath': '/college/louisville'}]",9,Guard,2.0,2025-03-31T22:29:15Z,,180,6-5,https://247sports.com/player/adrian-wooley-46142985/college-323351,,,2025
46131379,Jayden,Quaintance,https://s3media.247sports.com/Uploads/Assets/534/29/13029534.jpg,2025-04-02T17:08:00Z,0.98,0.98,0.98,5.0,10.0,9.0,10.0,,T,C,35,Immediate,,1.0,Enrolled,,Arizona State,24088,,https://s3media.247sports.com/Uploads/Assets/888/472/8472888.png,,https://s3media.247sports.com/Uploads/Assets/890/472/8472890.png,/college/arizona-state,"[{'percentage': None, 'transferred': True, 'institution': 'Kentucky', 'institutionKey': 24101, 'logo': None, 'defaultAsset': 'https://s3media.247sports.com/Uploads/Assets/430/617/12617430.png', 'alternateAsset': None, 'lightAsset': 'https://s3media.247sports.com/Uploads/Assets/430/617/12617430.png', 'institutionRootPath': '/college/kentucky'}]",11,Center,1.0,2025-04-08T13:59:04Z,2025-04-08T13:58:00Z,230,6-9,https://247sports.com/player/jayden-quaintance-46131379/college-322807,,,2025
